Sistema,Valor de core,Extensiones típicas
NES / Famicom,nes,".nes, .zip"
SNES,snes,".sfc, .smc, .zip"
Game Boy,gb,".gb, .gbc, .zip"
Game Boy Advance,gba,".gba, .zip"
Nintendo DS,nds,".nds, .zip"
Nintendo 64,n64,".z64, .n64, .v64, .zip"
Sega Master System,segaMS,".sms, .zip"
Sega Genesis / Mega Drive,segaMD,".md, .gen, .bin, .zip"
Sega Game Gear,segaGG,".gg, .zip"
Sega CD,segaCD,".chd, .cue + .bin, .iso"
Sega 32X,sega32x,".32x, .zip"
Sega Saturn,segaSaturn,".chd, .cue"
PlayStation 1,psx,".chd, .bin+.cue, .pbp, .iso"
Arcade (Neo Geo incluido),arcade o fbneo,.zip
Neo Geo Pocket,ngp,".ngp, .ngc, .zip"
Atari 2600,atari2600,".a26, .bin, .zip"
Atari 7800,atari7800,".a78, .zip"
PC Engine / TurboGrafx,pce,".pce, .zip"
WonderSwan,ws,".ws, .wsc, .zip"
Virtual Boy,vb,".vb, .zip"
3DO,3do,".iso, .chd"
Amiga,amiga,".adf, .zip"
Commodore 64,c64,".d64, .zip"
